Category,Name,Abbr.,Region,Level,Boss Encounters,Tiers,Group,Available,Prereqs,Challenge,Note
Shadows of Angmar,Helegrod: Drake Wing,Drake-wing,Misty Mountains,50-160,1,1,Raid,Free,,Daily,"In this wing of Helegrod, Drakes and Drakelings have built their nests under the watchful eye of Grisgart."
Shadows of Angmar,Helegrod: Spider Wing,Spider-wing,Misty Mountains,50-160,1,1,Raid,Free,,Daily,"In this wing of Helegrod, giant spiders are gathering."
Shadows of Angmar,Helegrod: Giant Wing,Giant-wing,Misty Mountains,50-160,1,1,Raid,Free,,Daily,"In this wing of Helegrod, Stone-giants swear fealty to the Thunder-lord."
Shadows of Angmar,Helegrod: Dragon Wing,Thorog,Misty Mountains,50-160,1,1,Raid,Free,"Defeat Zaudru, Storvâgûn, and Grisgart",-,"At the central courtyard of Helegrod, a fell ritual is taking place..."
Shadows of Angmar,Rift of Nûrz Ghâshu,"Nurz Gashu, Rift",Angmar,50,8,1,Raid,Free,,-,"In the far east of Angmar, an ancient evil of the First Age has been uncovered..."
Shadows of Angmar,Bogbereth,Bogbereth,Angmar,50,1,1,Raid,Free,Landscape raid,,"Beneath Himbar, the spider queen Bogbereth gains power."
Shadows of Angmar,Ferndúr the Virulent,Ferndur,Angmar,50,1,1,Raid,Free,Landscape Raid,,"In Imlad Balchorth, the Gaunt-lord Ferndúr raises the Dead for his dark plans."
Mines of Moria,Vile Maw,VM/Watcher,The Water-works,60,1,1,Raid,Free,,,"In the deepest waters of Moria, an ancient terror looms..."
Mines of Moria,Filikul,Turtle,Water-works,60,1,1,Raid,Free,,,"Nornúan, a beast of enormous size, has been discovered in the Water-works."
Scourge of Khazad-dûm,Dâr Narbugud,"Dar Narbugud, DN",Foundations of Stone,60,6,1,Raid,Free,,,"Beneath the foundations of Moria, nameless creatures stir as an unspeakable plague threatens to spread througout the Mines."
Tower of Dol Guldur,Barad Guldur,BG,Dol Guldur,65-160,3,2,Raid,Free,,Daily,The tower of the Lieutenant of Dol Guldur is under attack!
In Their Absence,Ost Dunhoth,OD,Enedwaith,65-160,6,2,Raid,Free,Discover,Daily,"In the hills of Enedwaith, the Gaunt-lord Gortheron rallies his forces in secret."
Rise of Isengard,Draigoch's Lair,Draigoch,Enedwaith,75,1,1,Raid,Free,Discover,Daily,"In a cave west of the Misty Mountains, one of the last great Dragons slumbers."
Rise of Isengard,Tower of Orthanc,ToO,Isengard,75,5,2,Raid,Free,Discover,Daily,Saruman holds command over Isengard and has forged his very own Rings of Power.
Road to Erebor,Flight to the Lonely Mountain,Flight,Erebor,20-160,1,2,Raid,Free,,Daily,The army of Rhûn has conquered Dale and pursues its inhabitants towards Erebor.
Road to Erebor,Fires of Smaug,Smaug,Erebor,20-160,1,2,Raid,Free,,Daily,"As the Easterlings lay siege to Erebor, the dwarves struggle to defend their home."
Road to Erebor,Battle for Erebor,BfE,Erebor,20-160,1,2,Raid,Free,,Daily,The final assault on Erebor is at hand and the commanders of the besieging army step forward to fight.
Helm's Deep,Deeping Wall,Wall or DW,West Rohan,10-100,1,1,"Solo/Duo, Raid",Free,Epic Battles,,"The host of Isengard besieges Helm's Deep, the strongest fortress of Rohan."
Battle of Pelennor,Throne of the Dread Terror,Throne,Old Anórien,105,6,2,Raid,VIP/QP,,Daily,"As the Battle of Pelennor Fields rages, a new commander arises after the fall of the Witch-king."
Plateau of Gorgoroth,Abyss of Mordath,Abyss,The Plateau of Gorgoroth,115,3,2,Raid,Exp/Buy,Discover,Weekly,Pursue King Váskmun Greytooth beneath the foundations of the now-ruined fortress of Barad-dûr.
Grey Mountains,Anvil of Winterstith,Anvil,Grey Mountains,120,4,3,Raid,VIP/QP,Discover,diverse chest locks,Fellow up with the Dwarves as they pursue Karazgar into an ancient glacier.
Minas Morgul,"Remmorchant, the Net of Darkness",Remmo,Minas Morgul,130,4,5,Raid,Exp/Buy,Discover,diverse chest locks,Enter the depths of Torech Ungol to face Shelob
War of Three Peaks,"Amdân Dammul, the Bloody Threshold","Bloody Threshold, Amdan Dammul, AD",The War of Three Peaks,130,2,5,Raid,Exp,Discover,diverse chest locks,"Prince Durin Stonehelmson of the Longbeards leads the Gabil'akkâ , a great host of united dwarves, to the very gates of Mount Gundabad."
War of Three Peaks,The Fall of Khazad-dûm,FoKD,Moria,130,1,5,Raid,VIP/QP,Discover,diverse chest locks,"In the year 1981 of the Third Age, the Longbeards made their final stand against the Balrog known as 'Durin's Bane'."
Fate of Gundabad,Hiddenhoard of Abnankâra,"Abnankara, HH",Gundabad,140,3,5,Raid,Exp,Discover,diverse chest locks,"After the confrontation with Mótsog, Hrímil tends to her wounds. Go after her and watch the final part of Durin's campaign."
Return to Carn Dûm,"Gwathrenost, the Witch-king's Citadel","Gwathrenost, Gwath",Angmar,140,4,5,Raid,VIP/QP,Discover,diverse chest locks,Fight the new power in Carn Dûm and make sure that Angmar will not be reborn again.
